Division,Violent Crime,Property Crime,Drug Offences,DV-Related,Other Crimes,Total Crimes,IRSD Score,IRSD Decile,IRSDA Score,IRSDA Decile,IER Score,IER Decile,IEO Score,IEO Decile,Usual Resident Population,Violent_DV_Crime,log_vdv_crime,scaled_log_vdv_violence
Acacia Ridge,835.8268768367619,6371.894202511355,558.3756345177665,193.42773176596313,1533.1285065455518,9492.652952177397,856.1608766,1.0,871.8165081,1.0,877.0988969,1.0,906.705159,2.0,7486.0,1029.254608602725,6.93756124349475,0.3448044959732699
Agnes Water,202.27189446683767,805.7896665445218,279.2231586661781,57.163796262367164,923.415170392085,2267.86368633199,968.2527393,3.0,929.1264616,3.0,969.9501158,3.0,918.8405564,3.0,2729.0,259.43569072920485,5.562355962114451,-1.1788384324719476
Albany Creek,208.91058895331096,1166.066524259994,159.04790967348185,37.77845590479097,499.54226426609705,2071.3457430576746,1086.676675,10.0,1068.768212,9.0,1090.198282,9.0,1047.041146,9.0,16385.0,246.68904485810194,5.512174108057025,-1.2344368424737808
Allora,254.77178423236512,769.2946058091287,549.3775933609959,60.58091286307054,1034.0248962655603,2668.04979253112,950.7541252,2.0,921.8987704,2.0,964.6733182,2.0,910.3051064,2.0,1205.0,315.35269709543564,5.7568577212257,-0.9633424379084597
Alpha,107.3345259391771,454.3828264758497,153.84615384615387,39.35599284436494,606.4400715563506,1361.3595706618962,1013.441709,5.0,978.3788243,5.0,1020.99695,5.0,936.6756614,3.0,559.0,146.69051878354205,4.995118995083834,-1.8073021282348418
Anakie,573.5694822888283,897.8201634877385,1128.0653950953679,141.68937329700273,2260.217983651226,5001.362397820164,1054.555693,8.0,1020.222477,7.0,1066.21982,8.0,995.6486647,6.0,734.0,715.258855585831,6.574041631772177,-0.05795289105212334
Annerley,301.48852072996385,2721.554116558742,187.03220923387437,79.05138339920948,561.5171137835338,3850.643343705324,1035.832646,7.0,1060.526718,9.0,939.6668467,2.0,1110.598596,10.0,11891.0,380.53990412917335,5.944215443234009,-0.7557615973658448
Atherton,430.9943034697048,1650.828586224754,336.61315380631794,141.63645779388918,1498.1874676333507,4058.2599689280164,937.6723101,2.0,910.3529295,2.0,923.2832478,1.0,910.7628356,2.0,7724.0,572.630761263594,6.351985916270739,-0.30397697576551386
Ayr,481.80867139369985,1263.0477740323142,444.03115192374753,179.93723119841914,1539.5792165523653,3908.404045100546,947.6422115,2.0,909.4649683,2.0,940.6070263,2.0,879.3286779,1.0,8603.0,661.745902592119,6.4963916627164044,-0.14398428421770865
Babinda,511.26651126651126,1142.1911421911423,520.5905205905206,101.01010101010101,1564.1025641025642,3839.1608391608393,901.1229308,1.0,885.2596427,1.0,907.0458305,1.0,870.9595604,1.0,1287.0,612.2766122766122,6.4188160776746,-0.22993326446763257
Badu Island,836.6477272727273,579.5454545454546,201.70454545454544,164.77272727272725,657.6704545454546,2440.340909090909,664.0657895,1.0,774.3280906,1.0,653.3216286,1.0,846.1895392,1.0,704.0,1001.4204545454545,6.910172808945749,0.31445979385004513
Bamaga,2030.35413153457,3514.3338954468804,499.1568296795953,534.5699831365936,3133.220910623946,9711.635750421585,790.1275477,1.0,854.4129293,1.0,683.6908621,1.0,945.5311695,4.0,1186.0,2564.9241146711634,7.8500739713443455,1.3558125132700025
Barcaldine,190.9090909090909,451.94805194805195,193.5064935064935,37.66233766233766,761.038961038961,1635.064935064935,1009.629206,5.0,971.6814014,5.0,977.5542077,3.0,961.9161888,5.0,1540.0,228.57142857142856,5.436214216682199,-1.3185957334449931
Bargara,186.19835641112238,741.9790611279973,196.78036699313296,73.28605200945626,464.59529438252844,1662.8391309242375,1004.441823,5.0,982.0546753,5.0,993.8745608,4.0,984.740947,6.0,8883.0,259.48440842057863,5.562543006890015,-1.1786311983568318
Beaudesert,559.8341232227489,1688.0924170616113,310.42654028436016,155.21327014218008,1197.1267772511849,3910.6931279620853,872.7316179,1.0,851.3526478,1.0,914.9560093,1.0,847.0974782,1.0,6752.0,715.0473933649289,6.573746356620521,-0.05828003777185823
Beenleigh,2475.845697329377,9651.632047477746,1350.5044510385758,715.1335311572701,4057.091988130564,18250.207715133532,868.1696461,1.0,856.4339596,1.0,886.4313861,1.0,862.9311679,1.0,8425.0,3190.979228486647,8.068396451182188,1.5977004023215013
Beerwah,464.8306180501681,2561.158520817171,557.2795448668219,138.09154383242824,1806.6976984742696,5528.057926040859,977.0463283,3.0,943.8430339,3.0,1009.976733,5.0,927.584333,3.0,7734.0,602.9221618825964,6.403445318574923,-0.24696312082736857
Biggenden,465.73604060913704,1116.751269035533,291.87817258883246,92.63959390862944,1129.4416243654823,3096.4467005076144,819.8438291,1.0,808.6263709,1.0,872.7828779,1.0,821.4365984,1.0,788.0,558.3756345177665,6.326821223361914,-0.3318579088277718
Biloela,367.18200983836965,1110.8573436401966,390.3724525650035,118.41180604356992,1256.5003513703443,3243.3239634574843,981.9640264,4.0,942.1252034,3.0,976.2369792,3.0,883.791927,1.0,5692.0,485.5938158819396,6.187429721435823,-0.48629512563505206
Blackall,214.65201465201463,341.3919413919414,145.05494505494508,35.16483516483517,678.3882783882784,1414.6520146520147,961.2701113,3.0,932.2667633,3.0,973.77978,3.0,895.2441943,2.0,1365.0,249.8168498168498,5.524722990779714,-1.2205334517006425
Blackbutt,699.6245306633292,2007.5093867334167,1607.0087609511888,157.69712140175218,2729.6620775969964,7201.501877346684,818.6865268,1.0,802.4042478,1.0,884.8531515,1.0,803.5028231,1.0,799.0,857.3216520650814,6.754978915092555,0.14251449803940033
Blackwater,508.0816673755849,1079.5406210123354,281.5823054019566,184.17694598043386,1143.130582730753,3196.5121225010635,966.4536049,3.0,926.8040335,2.0,957.5209786,2.0,865.4256707,1.0,4702.0,692.2586133560187,6.541403109021687,-0.09411436821993162
Boonah,301.5252248728979,1071.1771607352366,277.6691435275714,57.09816190848651,1095.4243253813063,2802.8940164254986,928.0846125,2.0,902.7409922,2.0,949.9275995,2.0,900.0859766,2.0,2557.0,358.62338678138445,5.885057336026084,-0.8213051441569752
Boondall,1119.650109340831,8394.1476621889,1193.7936061647404,267.9371029886494,3071.227741330834,14046.756222013953,1022.224604,6.0,1005.357364,7.0,1002.968876,4.0,999.1019998,6.0,9603.0,1387.5872123294803,7.236042115238515,0.6755029565348004
Bowen,311.82507809013833,882.7309236947791,253.6367692994199,93.70816599732262,987.2378402498884,2529.1387773315487,925.7229134,2.0,897.0795951,2.0,945.5508537,2.0,861.9500628,1.0,11205.0,405.53324408746096,6.007665706916926,-0.6854626050063717
Brisbane City,1894.971001827282,12511.638992611424,3011.2020338444427,176.9285771033606,7892.746484468102,25487.48708985461,1014.501742,5.0,1083.842,10.0,849.8698675,1.0,1129.660394,10.0,12587.0,2071.8995789306427,7.636703668874875,1.119411332370289
Broadbeach,2157.530209254347,14854.111405835545,2661.3616268788683,391.5414087827881,6015.62039493074,26080.165045682286,1016.566914,6.0,1013.815467,7.0,921.3867944,1.0,1029.902746,8.0,6786.0,2549.071618037135,7.843876723262841,1.3489463432930167
Browns Plains,1678.9806996381183,10506.031363088057,880.2774427020506,497.7382388419783,2469.8431845597106,16032.870928829916,893.4549184,1.0,878.5333623,1.0,927.4583048,2.0,873.4451334,1.0,6632.0,2176.7189384800968,7.686033249472541,1.174065475761422
Bundaberg,1135.32141394841,4604.476593421591,1196.6698512351577,367.40821618670674,3524.3619489559164,10828.238023747781,812.1514403,1.0,825.3411271,1.0,817.4386112,1.0,850.7752451,1.2,14654.0,1502.7296301351168,7.31570372115233,0.7637631196992033
Burpengary,573.7506065016981,2254.6700630761766,546.3367297428433,153.74818049490537,1151.8073750606502,4680.312954876274,987.937432,4.0,953.0460628,4.0,1021.106557,5.0,921.434356,3.0,16488.0,727.4987869966035,6.590985960564009,-0.0391796161887428
Caboolture,859.0776731902214,3636.486761021196,753.0304056341844,238.13232206947924,2045.303717749035,7532.030879664116,891.488376,1.0,877.6281534,1.0,943.6345228,2.0,877.0446785,1.0,29534.0,1097.2099952597007,7.001436856296434,0.41557474901338753
