Localities,IRSD Score,IRSD Decile,IRSDA Score,IRSDA Decile,IER Score,IER Decile,IEO Score,IEO Decile,Usual Resident Population
Acacia Ridge,856.1608766,1,871.8165081,1,877.0988969,1,906.705159,2,7486
Adavale,1064.484371,9,1051.599709,9,1085.093868,9,1068.319439,9,72
Agnes Water,968.2527393,3,929.1264616,3,969.9501158,3,918.8405564,3,2729
Albany Creek,1086.676675,10,1068.768212,9,1090.198282,9,1047.041146,9,16385
Allora,950.7541252,2,921.8987704,2,964.6733182,2,910.3051064,2,1205
Alpha,1013.441709,5,978.3788243,5,1020.99695,5,936.6756614,3,559
Anakie,1054.555693,8,1020.222477,7,1066.21982,8,995.6486647,6,734
Annerley,1035.832646,7,1060.526718,9,939.6668467,2,1110.598596,10,11891
Aramac,951.1027147,2,934.8191116,3,950.8499875,2,900.6728199,2,372
Atherton,937.6723101,2,910.3529295,2,923.2832478,1,910.7628356,2,7724
Augathella,896.5118927,1,886.6254614,1,936.7316138,2,891.0966263,2,393
Aurukun,501.472497,1,700.1083999,1,546.4576257,1,832.8269183,1,1101
Ayr,947.6422115,2,909.4649683,2,940.6070263,2,879.3286779,1,8603
Babinda,901.1229308,1,885.2596427,1,907.0458305,1,870.9595604,1,1287
Badu Island,664.0657895,1,774.3280906,1,653.3216286,1,846.1895392,1,704
Bamaga,790.1275477,1,854.4129293,1,683.6908621,1,945.5311695,4,1186
Baralaba,957.2175426,3,930.8044855,3,948.6647725,2,921.9477642,3,324
Barcaldine,1009.629206,5,971.6814014,5,977.5542077,3,961.9161888,5,1540
Bargara,1004.441823,5,982.0546753,5,993.8745608,4,984.740947,6,8883
Beaudesert,872.7316179,1,851.3526478,1,914.9560093,1,847.0974782,1,6752
Bedourie,951.845764,2,942.4874388,3,883.6236839,1,897.6377507,2,150
Beenleigh,868.1696461,1,856.4339596,1,886.4313861,1,862.9311679,1,8425
Beerwah,977.0463283,3,943.8430339,3,1009.976733,5,927.584333,3,7734
Bell,892.5014625,1,880.6012025,1,962.7928528,2,901.8782002,2,421
Biggenden,819.8438291,1,808.6263709,1,872.7828779,1,821.4365984,1,788
Biloela,981.9640264,4,942.1252034,3,976.2369792,3,883.791927,1,5692
Birdsville,951.845764,2,942.4874388,3,883.6236839,1,897.6377507,2,110
Blackall,961.2701113,3,932.2667633,3,973.77978,3,895.2441943,2,1365
Blackbutt,818.6865268,1,802.4042478,1,884.8531515,1,803.5028231,1,799
Blackwater,966.4536049,3,926.8040335,2,957.5209786,2,865.4256707,1,4702
Bollon,966.2646156,3,952.7281204,4,978.5975991,3,945.8271445,4,174
Boonah,928.0846125,2,902.7409922,2,949.9275995,2,900.0859766,2,2557
Boondall,1022.224604,6,1005.357364,7,1002.968876,4,999.1019998,6,9603
Boulia,841.1247538,1,865.5435269,1,830.9496182,1,877.8961799,1,314
Bowen,925.7229134,2,897.0795951,2,945.5508537,2,861.9500628,1,11205
Brisbane City,1014.501742,5,1083.842,10,849.8698675,1,1129.660394,10,12587
Broadbeach,1016.566914,6,1013.815467,7,921.3867944,1,1029.902746,8,6786
Browns Plains,893.4549184,1,878.5333623,1,927.4583048,2,873.4451334,1,6632
Bundaberg,812.1514403,1,825.3411271,1,817.4386112,1,850.7752451,1.2,14654
Burketown,963.8177104,3,944.3337544,3,874.1449492,1,953.3930515,4,204
Burpengary,987.937432,4,953.0460628,4,1021.106557,5,921.434356,3,16488
Caboolture,891.488376,1,877.6281534,1,943.6345228,2,877.0446785,1,29534
Calamvale,1021.849161,6,1023.883619,8,1027.281129,6,1035.884726,8,17994
Calen,912.9348835,2,870.2588485,1,958.2089019,2,832.710197,1,427
Calliope,965.9911357,3,924.0524056,2,1015.165959,5,871.9945561,1,5263
Caloundra,969.8471334,3.5,947.7640682,3.5,951.3250515,2.5,945.3248362,3.5,11202
Cambooya,987.1206901,4,941.9515201,3,996.3678251,4,925.0413435,3,2260
Camooweal,749.3468035,1,812.7202962,1,832.5808864,1,882.930097,1,236
Canungra,1039.785451,7,996.5008339,6,1072.321259,8,969.4756247,5,1436
Capalaba,1007.68046,5,978.9230944,5,1018.026747,5,954.6070216,4,18002
Capella,966.072139,3,921.7311797,2,964.7662761,3,872.7630051,1,974
Cardwell,867.8245107,1,849.6708172,1,884.4286359,1,863.3152106,1,1320
Carina,1057.151001,8,1056.956402,9,1011.745969,5,1070.698949,9,11678
Carmila,964.3521021,3,914.4788179,2,981.4070402,3,870.6148158,1,340
Carseldine,1067.13261,9,1059.066108,9,1061.489492,8,1051.794702,9,10093
Cecil Plains,917.7395422,2,902.2131662,2,938.299412,2,887.8623962,2,380
Charleville,943.4001396,2,922.9809374,2,926.5199083,1,922.3100646,3,2992
Charters Towers,864.2751139,1,858.1647408,1,854.4566764,1,859.4917949,1,2219
Cherbourg,498.1020393,1,659.6108474,1,560.7790086,1,813.6216604,1,1194
Childers,858.6049707,1,849.8860956,1,890.289699,1,852.1963038,1,1682
Chillagoe,841.6357066,1,864.4679971,1,866.3994709,1,885.6241354,2,214
Chinchilla,954.34794,3,926.832126,2,963.1090146,2,903.2746278,2,7068
Clare,1018.707211,6,981.6201193,5,1026.127602,6,955.4733157,4,201
